Jumping higher,Developer,,,,,Luke,http://lukeschoen.blogspot.com,Australia
Running faster,Developer,,,,,Alberto,http://lukeschoen.blogspot.com,Italy
Crawling slower,Developer,,,,,Ed ,http://lukeschoen.blogspot.com,Australia
Learning better,Developer,,,,,Emily ,http://lukeschoen.blogspot.com,Australia
Coding harder,Developer,,,,,Federico ,http://lukeschoen.blogspot.com,Italy
Growing less,Developer,,,,,Lauren ,http://lukeschoen.blogspot.com,USA
Eating slower,Developer,,,,,Nick ,http://lukeschoen.blogspot.com,USA
Watching more,Developer,,,,,Pranava ,http://lukeschoen.blogspot.com,Australia
Playing less,Developer,,,,,Sam ,http://lukeschoen.blogspot.com,Australia
Hearing closer,Developer,,,,,Marcus ,http://lukeschoen.blogspot.com,
